Wavelength,Intensity
400,0.016454043
400.8,0.016596744
401.6,0.016703839
402.5,0.016741422
403.3,0.016756963
404.2,0.016797937
405,0.017141264
405.9,0.017478093
406.7,0.018163054
407.6,0.018320165
408.4,0.018229741
409.3,0.017891782
410.1,0.018172379
411,0.01850949
411.8,0.01866208
412.7,0.018597936
413.5,0.018671688
414.3,0.019500479
415.2,0.019934513
416,0.020431845
416.9,0.020322488
417.7,0.020743807
418.6,0.021139411
419.4,0.021470306
420.3,0.021606789
421.1,0.02153445
422,0.021603681
422.8,0.021952378
423.7,0.022523461
424.5,0.023346035
425.4,0.023300823
426.2,0.023429112
427,0.023921357
427.9,0.024725846
428.7,0.025109865
429.6,0.024934951
430.4,0.025263303
431.3,0.025453193
432.1,0.026182518
433,0.026263616
433.8,0.026628703
434.7,0.026460853
435.5,0.026940382
436.4,0.027781324
437.2,0.028313694
438.1,0.028547666
438.9,0.028223836
439.7,0.028053443
440.6,0.028243899
441.4,0.028616897
442.3,0.028968985
443.1,0.02910349
444,0.029134856
444.8,0.029399063
445.7,0.029276991
446.5,0.029239408
447.4,0.029240256
448.2,0.029466316
449.1,0.029147572
449.9,0.029029173
450.7,0.028526191
451.6,0.028315955
452.4,0.027747415
453.3,0.027828231
454.1,0.027963867
455,0.027852533
455.8,0.027493381
456.7,0.027046913
457.5,0.027155987
458.4,0.026794291
459.2,0.02623875
460.1,0.025881858
460.9,0.025658059
461.8,0.02586886
462.6,0.025436804
463.4,0.025705532
464.3,0.025653256
465.1,0.025722769
466,0.025278562
466.8,0.025150556
467.7,0.024915454
468.5,0.024841419
469.4,0.024827856
470.2,0.02499514
471.1,0.024712565
471.9,0.024438751
472.8,0.024420666
473.6,0.024358499
474.5,0.024454575
475.3,0.023984653
476.1,0.023839693
477,0.024283617
477.8,0.024216364
478.7,0.024586254
479.5,0.024234167
480.4,0.024535674
481.2,0.024354826
482.1,0.024345219
482.9,0.024108704
483.8,0.024423209
484.6,0.02424773
485.5,0.024550933
486.3,0.024479441
487.2,0.024373476
488,0.024123963
488.8,0.024368955
489.7,0.024906411
490.5,0.025447259
491.4,0.025500383
492.2,0.025413632
493.1,0.025503774
493.9,0.025581199
494.8,0.025853036
495.6,0.025745092
496.5,0.02584908
497.3,0.026092377
498.2,0.026397839
499,0.026390493
499.9,0.026275485
500.7,0.026506348
501.5,0.026659786
502.4,0.026919472
503.2,0.02677988
504.1,0.027239911
504.9,0.027134794
505.8,0.027289079
506.6,0.027215045
507.5,0.027050869
508.3,0.027008483
509.2,0.026856458
510,0.027100037
510.9,0.02740437
511.7,0.027571936
512.5,0.027885311
513.3,0.027570523
514.1,0.027400131
514.9,0.027388263
515.7,0.02738798
516.5,0.027249236
517.3,0.026728452
518,0.026428075
518.8,0.026104527
519.6,0.025787761
520.4,0.025792565
521.2,0.025467039
522,0.025462235
522.8,0.025263585
523.6,0.025032157
524.3,0.024639943
525.1,0.024289269
525.9,0.024387322
526.7,0.02424886
527.5,0.024318656
528.3,0.024100791
529.1,0.024149677
529.9,0.023539598
530.6,0.023306475
531.4,0.023289237
532.2,0.023485062
533,0.023758029
533.8,0.023490713
534.6,0.023623523
535.4,0.023174795
536.2,0.023257024
536.9,0.022836836
537.7,0.022610776
538.5,0.022388955
539.3,0.022337527
540.1,0.022739065
540.9,0.022847856
541.7,0.022973885
542.5,0.022640729
543.2,0.0229185
544,0.022535611
544.8,0.022842487
545.6,0.022531373
546.4,0.022869332
547.2,0.022772409
548,0.022535894
548.8,0.022226192
549.5,0.022047605
550.3,0.022255863
551.1,0.022261514
551.9,0.022011436
552.7,0.02177916
553.5,0.021738186
554.3,0.021820415
555.1,0.021455894
555.8,0.021548861
556.6,0.021580227
557.4,0.021811938
558.2,0.021479065
559,0.021173037
559.8,0.020750589
560.6,0.020477904
561.4,0.020502488
562.1,0.020831687
562.9,0.020937653
563.7,0.020836491
564.5,0.020411782
565.3,0.020134859
566.1,0.020135141
566.9,0.020002614
567.7,0.020137967
568.4,0.020202111
569.2,0.019907386
570,0.019771468
570.8,0.019365126
571.6,0.01960814
572.4,0.019861044
573.2,0.019990746
574,0.01975197
574.7,0.018964435
575.5,0.019100353
576.3,0.019302677
577.1,0.01980905
577.9,0.019358062
578.7,0.019426444
579.5,0.01920971
580.3,0.019665502
581,0.019447637
581.8,0.019931122
582.6,0.019166194
583.4,0.019308046
584.2,0.018983933
585,0.019387732
585.8,0.019420793
586.6,0.019198972
587.3,0.018856209
588.1,0.01907803
588.9,0.019376711
589.6,0.01966522
590.4,0.019103744
591.1,0.019102614
591.9,0.019167889
592.6,0.019305502
593.4,0.01870701
594.1,0.018510903
594.9,0.018722552
595.6,0.019278658
596.3,0.019273289
597.1,0.019011908
597.8,0.018718878
598.6,0.019068423
599.3,0.019077182
600.1,0.019177214
600.8,0.018686099
601.6,0.018547638
602.3,0.018346727
603.1,0.018563462
603.8,0.01883219
604.6,0.019342237
605.3,0.019280636
606.1,0.019206319
606.8,0.018922897
607.6,0.019089051
608.3,0.018898878
609.1,0.018893792
609.8,0.018595676
610.6,0.018668015
611.3,0.018708705
612,0.018453258
612.8,0.018287952
613.5,0.018248957
614.3,0.019022363
615,0.019044404
615.8,0.018537182
616.5,0.01821533
617.3,0.018023462
618,0.018512881
618.8,0.017896869
619.5,0.017734106
620.3,0.017059318
621,0.016971437
621.8,0.01710453
622.5,0.017402646
623.3,0.017519067
624,0.017478093
624.8,0.017509177
625.5,0.017653289
626.3,0.017725911
627,0.017614294
627.7,0.017679004
628.5,0.01754139
629.2,0.017176021
630,0.016925943
630.7,0.016988392
631.5,0.017164436
632.2,0.017277748
633,0.017355739
633.7,0.017395017
634.5,0.017600731
635.2,0.017241296
636,0.017423274
636.7,0.017156806
637.5,0.017308831
638.2,0.017442772
639,0.017723368
639.7,0.017465095
640.5,0.01735263
641.2,0.016999412
642,0.01733398
642.7,0.017500982
643.4,0.017500134
644.2,0.017383148
644.9,0.017350935
645.7,0.017431469
646.4,0.017599035
647.2,0.017459726
647.9,0.017476398
648.7,0.01750183
649.4,0.017438251
650.2,0.017616555
650.9,0.017313635
651.7,0.017129114
652.4,0.016869993
653.2,0.016936116
653.9,0.017339914
654.7,0.017468768
655.4,0.017549585
656.2,0.017313353
656.9,0.01721869
657.7,0.017214169
658.4,0.017025127
659.1,0.016843149
659.9,0.01676092
660.6,0.016921422
661.4,0.017464247
662.1,0.017536586
662.9,0.017392756
663.6,0.016795959
664.4,0.016583463
665.1,0.01661172
665.9,0.016753855
666.6,0.016912379
667.4,0.016940637
668.1,0.016740292
668.9,0.016387639
669.7,0.016303149
670.4,0.016409397
671.2,0.01639329
672,0.016340166
672.7,0.016060135
673.5,0.016110716
674.2,0.016618502
675,0.017329177
675.8,0.017097183
676.5,0.016458282
677.3,0.015859789
678.1,0.016395268
678.8,0.01655577
679.6,0.016735488
680.4,0.016745943
681.1,0.016833823
681.9,0.016704404
682.7,0.016838062
683.4,0.016692536
684.2,0.016662301
685,0.016276022
685.7,0.016097152
686.5,0.01608924
687.2,0.016008989
688,0.016692819
688.8,0.016792568
689.5,0.017329742
690.3,0.016651563
691.1,0.01655351
691.8,0.016007011
692.6,0.016314734
693.4,0.016071438
694.1,0.015809774
694.9,0.01555687
695.7,0.015772474
696.4,0.015965755
697.2,0.015842552
698,0.015665661
698.7,0.015782082
699.5,0.015789993
