(nm),x¯λ,y¯λ,z¯λ
380,0.000159,0.0000173,0.000704776
390,0.0023616,0.0002534,0.0104822
400,0.0191,0.002004,0.08601
410,0.084736,0.008756,0.389366
420,0.204492,0.021391,0.972542
430,0.314679,0.038676,1.55348
440,0.383734,0.062077,1.96728
450,0.370702,0.089456,1.9948
460,0.302273,0.1282,1.74537
470,0.1956,0.1852,1.3176
480,0.0805,0.2536,0.7721
490,0.016172,0.339133,0.4153
492,0.010759,0.358326,0.366399
494,0.006661,0.382464,0.322689
496,0.003982,0.408482,0.283036
498,0.002934,0.434619,0.247848
500,0.003816,0.46077,0.2185
502,0.006936,0.4882,0.193596
504,0.012147,0.51674,0.170281
506,0.019156,0.54619,0.148673
508,0.02769,0.57629,0.129096
510,0.037465,0.6067,0.112
512,0.049114,0.63783,0.098196
514,0.063349,0.66968,0.087088
516,0.079901,0.70155,0.077744
518,0.098293,0.73257,0.069268
520,0.1177,0.7618,0.060709
524,0.161041,0.81214,0.045954
528,0.210538,0.85487,0.035384
530,0.2365,0.8752,0.030451
534,0.290269,0.91465,0.022174
538,0.347232,0.94852,0.016403
540,0.3768,0.962,0.0137
550,0.5298,0.9918,0.003988
560,0.7052,0.9973,0
570,0.8787,0.9556,0
580,1.0142,0.8689,0
590,1.1185,0.7774,0
600,1.124,0.6583,0
610,1.0305,0.528,0
620,0.8563,0.3981,0
630,0.6475,0.2835,0
640,0.4316,0.1798,0
650,0.2683,0.1076,0
660,0.1526,0.060281,0
670,0.08126,0.0318,0
680,0.04085,0.0159,0
690,0.01994,0.007748,0
700,0.009576,0.0037174,0
710,0.004552,0.001768,0
720,0.002174,0.000846,0
730,0.001044,0.000407,0
740,0.000508,0.00019873,0
750,0.0002509,0.00009842,0
760,0.0001263,0.0000497,0
770,0.000064,0.00002548,0
780,0.000033411,0.00001324,0
